Config,Algorithm,Problem,Run,Score
margin3,ALConstraint,prob3,2,30.36672111593548
margin3,ALConstraint,prob3,3,28.870310820839414
margin3,ALConstraint,prob4,1,4631.897640053513
margin3,ALConstraint,prob4,2,4626.4387951269955
margin3,ALConstraint,prob4,3,2663.580300776274
margin3,RFSurrogate,prob1,1,36.32046502714158
margin3,RFSurrogate,prob1,2,37.546226013236975
margin3,RFSurrogate,prob1,3,37.35664495170447
margin3,RFSurrogate,prob2,1,31.420885218883267
margin3,RFSurrogate,prob2,2,31.420886238247665
margin3,RFSurrogate,prob2,3,31.420942016783158
margin3,RFSurrogate,prob3,1,28.231832519110316
margin3,RFSurrogate,prob3,2,28.467695652503608
margin3,RFSurrogate,prob3,3,28.246902317309633
margin3,RFSurrogate,prob4,1,2420.3720423856494
margin3,RFSurrogate,prob4,2,2417.6105743830763
margin3,RFSurrogate,prob4,3,4628.954299295625
margin3,Islands,prob1,1,37.356124613685864
margin3,Islands,prob1,2,36.32627187164049
margin3,Islands,prob1,3,37.356999383669745
margin3,Islands,prob2,1,31.420886581749805
margin3,Islands,prob2,2,31.420884321168725
margin3,Islands,prob2,3,31.42094641296154
margin3,Islands,prob3,1,28.91056481295643
margin3,Islands,prob3,2,28.22335284883596
margin3,Islands,prob3,3,28.220582307702244
margin3,Islands,prob4,1,2295.417367750988
margin3,Islands,prob4,2,2296.927665881713
margin3,Islands,prob4,3,2428.175964246126
margin3,GridBIPOP,prob1,1,36.334812044120675
margin3,GridBIPOP,prob1,2,36.34565916227606
margin3,GridBIPOP,prob1,3,37.3551703806657
margin3,GridBIPOP,prob2,1,31.420906616402423
margin3,GridBIPOP,prob2,2,31.420887833646795
margin3,GridBIPOP,prob2,3,31.42088450174272
margin3,GridBIPOP,prob3,1,29.40331769883019
margin3,GridBIPOP,prob3,2,29.448205587954998
margin3,GridBIPOP,prob3,3,29.513735525790064
margin3,GridBIPOP,prob4,1,4615.61428573289
margin3,GridBIPOP,prob4,2,4624.116314558834
margin3,GridBIPOP,prob4,3,4631.791373301253
margin3,StochRank,prob1,1,37.379862286663915
margin3,StochRank,prob1,2,37.36408923459007
margin3,StochRank,prob1,3,36.35250346046611
margin3,StochRank,prob2,1,31.42091787516709
margin3,StochRank,prob2,2,31.42088539392996
margin3,StochRank,prob2,3,31.420884374990447
margin3,StochRank,prob3,1,28.88964833042095
margin3,StochRank,prob3,2,28.307318600054476
margin3,StochRank,prob3,3,28.735382886398085
margin3,StochRank,prob4,1,2297.019752609119
margin3,StochRank,prob4,2,4679.667987277704
margin3,StochRank,prob4,3,2319.0199883780238
margin3,AStarRepair,prob1,1,37.36749308696563
margin3,AStarRepair,prob1,2,36.34172983963043
margin3,AStarRepair,prob1,3,37.35679807870255
margin3,AStarRepair,prob2,1,31.420905238029974
margin3,AStarRepair,prob2,2,31.420884374051877
margin3,AStarRepair,prob2,3,31.420895438936494
margin3,AStarRepair,prob3,1,28.488317516771538
margin3,AStarRepair,prob3,2,28.285161315548834
margin3,AStarRepair,prob3,3,28.844206334773656
margin3,AStarRepair,prob4,1,3834.9267613716
margin3,AStarRepair,prob4,2,2934.648348918749
margin3,AStarRepair,prob4,3,4538.813748332932
margin3,SepWarmup,prob1,1,36.32031650058991
margin3,SepWarmup,prob1,2,36.35104334406279
margin3,SepWarmup,prob1,3,37.357044872119445
margin3,SepWarmup,prob2,1,31.42131881079693
margin3,SepWarmup,prob2,2,31.42096341023646
margin3,SepWarmup,prob2,3,31.425708104248226
margin3,SepWarmup,prob3,1,31.4718656129056
margin3,SepWarmup,prob3,2,29.03475839851376
margin3,SepWarmup,prob3,3,32.68976116366575
margin3,SepWarmup,prob4,1,4600.633377801682
margin3,SepWarmup,prob4,2,2278.6583429038865
margin3,SepWarmup,prob4,3,4563.212510735286
margin3,OptiPathFinal,prob1,1,36.35935094373782
margin3,OptiPathFinal,prob1,2,36.35929446364943
margin3,OptiPathFinal,prob1,3,37.36184634255089
margin3,OptiPathFinal,prob2,1,31.4221559999242
margin3,OptiPathFinal,prob2,2,31.42107258235263
margin3,OptiPathFinal,prob2,3,31.421106238121943
margin3,OptiPathFinal,prob3,1,28.4493213725194
margin3,OptiPathFinal,prob3,2,29.242800732825533
margin3,OptiPathFinal,prob3,3,29.104768990787345
margin3,OptiPathFinal,prob4,1,4739.111876708814
margin3,OptiPathFinal,prob4,2,4582.061605243606
margin3,OptiPathFinal,prob4,3,4601.37352185708
margin5,CMAES,prob1,1,37.35637027241046
margin5,CMAES,prob1,2,37.352655608980335
margin5,CMAES,prob1,3,36.32664310108831
margin5,CMAES,prob2,1,31.420895766526638
margin5,CMAES,prob2,2,31.420886189555315
margin5,CMAES,prob2,3,31.420943523137872
margin5,CMAES,prob3,1,29.17274381610725
margin5,CMAES,prob3,2,29.82570361056629
margin5,CMAES,prob3,3,28.217337805831022
margin5,CMAES,prob4,1,1959.7319437339916
margin5,CMAES,prob4,2,3942.5652879685267
margin5,CMAES,prob4,3,3401.171526971578
margin5,DE,prob1,1,36.38723312761492
margin5,DE,prob1,2,36.39003743194799
margin5,DE,prob1,3,36.38208556973254
margin5,DE,prob2,1,31.42180552929618
margin5,DE,prob2,2,31.431574231843438
margin5,DE,prob2,3,31.453768012511365
margin5,DE,prob3,1,29.80188744197026
margin5,DE,prob3,2,29.784875244878517
margin5,DE,prob3,3,29.655328355229372
margin5,DE,prob4,1,3833.129223091856
margin5,DE,prob4,2,1947.6384752280549
margin5,DE,prob4,3,3831.5078834346036
margin5,GA,prob1,1,37.674226063512826
margin5,GA,prob1,2,37.4854892757039
margin5,GA,prob1,3,37.49161033028976
margin5,GA,prob2,1,31.558387387613067
margin5,GA,prob2,2,31.458823452789872
margin5,GA,prob2,3,31.499371346479677
margin5,GA,prob3,1,31.126301096620345
margin5,GA,prob3,2,35.44913561891081
margin5,GA,prob3,3,30.82601367648487
margin5,GA,prob4,1,4037.4930537916366
margin5,GA,prob4,2,3873.8715929080486
margin5,GA,prob4,3,3835.591800284054
margin5,MultiSegment,prob1,1,36.356093008829376
margin5,MultiSegment,prob1,2,36.34268396785707
margin5,MultiSegment,prob1,3,36.33210359823363
margin5,MultiSegment,prob2,1,31.42089206143303
margin5,MultiSegment,prob2,2,31.420884540403396
margin5,MultiSegment,prob2,3,31.421004727231992
margin5,MultiSegment,prob3,1,28.237114920889724
margin5,MultiSegment,prob3,2,28.247377552471075
margin5,MultiSegment,prob3,3,28.696672568732822
margin5,MultiSegment,prob4,1,3959.189587931089
margin5,MultiSegment,prob4,2,2047.6955060570888
margin5,MultiSegment,prob4,3,4076.1311529783093
margin5,BIPOP,prob1,1,36.36829541288746
margin5,BIPOP,prob1,2,36.37010014913878
margin5,BIPOP,prob1,3,36.338387220995386
margin5,BIPOP,prob2,1,31.420892770964567
margin5,BIPOP,prob2,2,31.42092985984617
margin5,BIPOP,prob2,3,31.420995605198527
margin5,BIPOP,prob3,1,28.224840034434443
margin5,BIPOP,prob3,2,28.224933605807898
margin5,BIPOP,prob3,3,28.23152093603483
margin5,BIPOP,prob4,1,1955.168509283947
margin5,BIPOP,prob4,2,1949.7588957095654
margin5,BIPOP,prob4,3,2905.371484579076
margin5,SHADE,prob1,1,36.3268618950761
margin5,SHADE,prob1,2,37.42639967718475
margin5,SHADE,prob1,3,36.565608859552505
margin5,SHADE,prob2,1,31.42088422851374
margin5,SHADE,prob2,2,31.421279402861508
margin5,SHADE,prob2,3,31.42108224932579
margin5,SHADE,prob3,1,34.30370935972471
margin5,SHADE,prob3,2,29.816799814015468
margin5,SHADE,prob3,3,29.58894982912732
margin5,SHADE,prob4,1,3831.2830926834413
margin5,SHADE,prob4,2,1946.3957086563657
margin5,SHADE,prob4,3,3830.7591656305735
margin5,BipopAdaptif,prob1,1,37.35463500478972
margin5,BipopAdaptif,prob1,2,36.343036595331846
margin5,BipopAdaptif,prob1,3,36.348087954017736
margin5,BipopAdaptif,prob2,1,31.420910737384457
margin5,BipopAdaptif,prob2,2,31.42088742760804
margin5,BipopAdaptif,prob2,3,31.420884717913246
margin5,BipopAdaptif,prob3,1,28.384557117144205
margin5,BipopAdaptif,prob3,2,28.246869961403924
margin5,BipopAdaptif,prob3,3,28.22079290663432
margin5,BipopAdaptif,prob4,1,4062.335817775478
margin5,BipopAdaptif,prob4,2,4097.110515818938
margin5,BipopAdaptif,prob4,3,1947.7790424950326
margin5,LMCMA,prob1,1,37.124029404575836
margin5,LMCMA,prob1,2,36.70636174073087
margin5,LMCMA,prob1,3,37.173684548696855
margin5,LMCMA,prob2,1,31.488380896497635
margin5,LMCMA,prob2,2,31.507249865600944
