Strategy,Algorithm,Problem,Run,Score
RANDOM,SepWarmup,prob4,3,5427.344156902144
RANDOM,OptiPathFinal,prob1,1,38.39012572047504
RANDOM,OptiPathFinal,prob1,2,38.42553157144661
RANDOM,OptiPathFinal,prob1,3,37.424893320606984
RANDOM,OptiPathFinal,prob2,1,31.481042777079196
RANDOM,OptiPathFinal,prob2,2,31.48097362283455
RANDOM,OptiPathFinal,prob2,3,31.480978188527025
RANDOM,OptiPathFinal,prob3,1,29.831228037945877
RANDOM,OptiPathFinal,prob3,2,28.29241134024095
RANDOM,OptiPathFinal,prob3,3,29.198546192319103
RANDOM,OptiPathFinal,prob4,1,5586.834715110745
RANDOM,OptiPathFinal,prob4,2,5870.307899587776
RANDOM,OptiPathFinal,prob4,3,5543.419697113706
RANDOM,PSO,prob1,1,38.15093370983162
RANDOM,PSO,prob1,2,37.957744743442234
RANDOM,PSO,prob1,3,36.74820315126548
RANDOM,PSO,prob2,1,31.48264569188735
RANDOM,PSO,prob2,2,31.50323729191596
RANDOM,PSO,prob2,3,31.6183129089965
RANDOM,PSO,prob3,1,48.15450771934417
RANDOM,PSO,prob3,2,41.11823531822077
RANDOM,PSO,prob3,3,49.23079800309351
RANDOM,PSO,prob4,1,3973.179493880175
RANDOM,PSO,prob4,2,3552.0971826198133
RANDOM,PSO,prob4,3,2694.015715181351
RANDOM,FPSO,prob1,1,38.249194272112916
RANDOM,FPSO,prob1,2,37.408419558562535
RANDOM,FPSO,prob1,3,37.266926872165044
RANDOM,FPSO,prob2,1,31.772535997751564
RANDOM,FPSO,prob2,2,31.718064974855327
RANDOM,FPSO,prob2,3,31.873066748091144
RANDOM,FPSO,prob3,1,46.80242533226261
RANDOM,FPSO,prob3,2,44.68906609687813
RANDOM,FPSO,prob3,3,41.45625369828997
RANDOM,FPSO,prob4,1,2784.423274553205
RANDOM,FPSO,prob4,2,2860.569752761417
RANDOM,FPSO,prob4,3,2499.283495719601
CENTER_LINE,CMAES,prob1,1,37.37788802853036
CENTER_LINE,CMAES,prob1,2,38.38835692023357
CENTER_LINE,CMAES,prob1,3,36.32448776434402
CENTER_LINE,CMAES,prob2,1,31.770157637168865
CENTER_LINE,CMAES,prob2,2,31.480946144744628
CENTER_LINE,CMAES,prob2,3,31.48094665899897
CENTER_LINE,CMAES,prob3,1,30.295995961868137
CENTER_LINE,CMAES,prob3,2,28.221865081933583
CENTER_LINE,CMAES,prob3,3,29.930476312131763
CENTER_LINE,CMAES,prob4,1,5777.475243709777
CENTER_LINE,CMAES,prob4,2,5833.260020950326
CENTER_LINE,CMAES,prob4,3,5577.316544896685
