idx,x,y
556,13.6370719662,2.9805865322
557,13.6682675804,2.9950087566
558,13.6994111135,3.0101565538
559,13.7305008923,3.0260300585
560,13.7615352563,3.0426293659
561,13.7925125575,3.0599545315
562,13.8234311606,3.0780055709
563,13.8542894439,3.0967824597
564,13.8850857988,3.1162851329
565,13.9158186310,3.1365134855
566,13.9464863601,3.1574673713
567,13.9770874203,3.1791466037
568,14.0076202606,3.2015509549
569,14.0380833452,3.2246801556
570,14.0684751535,3.2485338956
571,14.0987941809,3.2731118225
572,14.1290389387,3.2984135425
573,14.1592079546,3.3244386196
574,14.1892997729,3.3511865757
575,14.2193129550,3.3786568901
576,14.2492460795,3.4068489997
577,14.2790977424,3.4357622985
578,14.3088665577,3.4653961375
579,14.3385511575,3.4957498245
580,14.3681501924,3.5268226241
581,14.3976623316,3.5586137569
582,14.4270862634,3.5911224002
583,14.4564206953,3.6243476870
584,14.4856643546,3.6582887061
585,14.5148159881,3.6929445020
586,14.5438743630,3.7283140747
587,14.5728382669,3.7643963792
588,14.6017065081,3.8011903257
589,14.6304779156,3.8386947791
590,14.6591513399,3.8769085589
591,14.6877256529,3.9158304390
592,14.7161997482,3.9554591476
593,14.7445725416,3.9957933668
594,14.7728429709,4.0368317324
595,14.8010099967,4.0785728341
596,14.8290726021,4.1210152146
597,14.8570297935,4.1641573700
598,14.8848806004,4.2079977493
599,14.9126240760,4.2525347544
600,14.9402592971,4.2977667395
601,14.9677853645,4.3436920115
602,14.9952014034,4.3903088291
603,15.0225065633,4.4376154033
604,15.0497000185,4.4856098966
605,15.0767809684,4.5342904230
606,15.1037486371,4.5836550480
607,15.1306022746,4.6337017883
608,15.1573411561,4.6844286111
609,15.1839645829,4.7358334349
610,15.2104718821,4.7879141282
611,15.2368624072,4.8406685100
612,15.2631355380,4.8940943495
613,15.2892906810,4.9481893657
614,15.3153272695,5.0029512273
615,15.3412447640,5.0583775523
616,15.3670426520,5.1144659083
617,15.3927204485,5.1712138117
618,15.4182776962,5.2286187279
619,15.4437139653,5.2866780709
620,15.4690288542,5.3453892032
621,15.4942219894,5.4047494356
622,15.5192930256,5.4647560267
623,15.5442416460,5.5254061833
624,15.5690675625,5.5866970595
625,15.5937705156,5.6486257570
626,15.6183502750,5.7111893248
627,15.6428066392,5.7743847587
628,15.6671394362,5.8382090015
629,15.6913485232,5.9026589427
630,15.7154337870,5.9677314179
631,15.7393951440,6.0334232093
632,15.7632325404,6.0997310448
633,15.7869459524,6.1666515983
634,15.8105353861,6.2341814892
635,15.8340008778,6.3023172825
636,15.8573424941,6.3710554882
637,15.8805603319,6.4403925615
638,15.9036545187,6.5103249023
639,15.9266252124,6.5808488551
640,15.9494726018,6.6519607091
641,15.9721969062,6.7236566973
642,15.9947983761,6.7959329971
643,16.0172772926,6.8687857297
644,16.0396339680,6.9422109597
645,16.0618687458,7.0162046954
646,16.0839820004,7.0907628884
647,16.1059741377,7.1658814331
648,16.1278455946,7.2415561670
649,16.1495968395,7.3177828704
650,16.1712283724,7.3945572659
651,16.1927407244,7.4718750184
652,16.2141344582,7.5497317351
653,16.2354101682,7.6281229652
654,16.2565684800,7.7070441993
655,16.2776100511,7.7864908701
656,16.2985355706,7.8664583513
657,16.3193457588,7.9469419580
658,16.3400413682,8.0279369462
659,16.3606231825,8.1094385131
660,16.3810920173,8.1914417962
661,16.4014487197,8.2739418737
662,16.4216941685,8.3569337642
663,16.4418292740,8.4404124263
664,16.4618549782,8.5243727587
665,16.4817722545,8.6088096000
666,16.5015821081,8.6937177282
667,16.5212855755,8.7790918611
668,16.5408837248,8.8649266556
669,16.5603776553,8.9512167078
670,16.5797684978,9.0379565530
671,16.5990574144,9.1251406651
672,16.6182455985,9.2127634567
673,16.6373342744,9.3008192791
674,16.6563246979,9.3893024217
675,16.6752181555,9.4782071124
676,16.6940159647,9.5675275169
677,16.7127194739,9.6572577391
678,16.7313300623,9.7473918203
679,16.7498491395,9.8379237397
680,16.7682781458,9.9288474140
681,16.7866185520,10.0201566970
682,16.8048718589,10.1118453798
683,16.8230395978,10.2039071906
684,16.8411233298,10.2963357945
685,16.8591246460,10.3891247934
686,16.8770451673,10.4822677257
687,16.8948865439,10.5757580665
688,16.9126504558,10.6695892273
689,16.9303386122,10.7637545558
690,16.9479527512,10.8582473358
691,16.9654946401,10.9530607872
692,16.9829660747,11.0481880658
693,17.0003688795,11.1436222632
694,17.0177049075,11.2393564068
695,17.0349760396,11.3353834594
696,17.0521841848,11.4316963193
697,17.0693312797,11.5282878203
698,17.0864192888,11.6251507313
699,17.1034502034,11.7222777565
700,17.1204260422,11.8196615350
701,17.1373488506,11.9172946411
702,17.1542207007,12.0151695838
703,17.1710436907,12.1132788071
704,17.1878199449,12.2116146894
705,17.2045516137,12.3101695442
706,17.2212408727,12.4089356190
707,17.2378899228,12.5079050963
708,17.2545009899,12.6070700927
709,17.2710763246,12.7064226593
710,17.2876182018,12.8059547813
711,17.3041289204,12.9056583783
712,17.3206108032,13.0055253040
